block,trial,task,tvns,decision,reward
1,1,partial,tVNS,2,41
1,2,partial,tVNS,2,57
1,3,partial,tVNS,2,62
1,4,partial,tVNS,2,76
1,5,partial,tVNS,2,76
1,6,partial,tVNS,2,81
1,7,partial,tVNS,2,55
1,8,partial,tVNS,1,67
1,9,partial,tVNS,1,35
1,10,partial,tVNS,2,18
1,11,partial,tVNS,1,46
1,12,partial,tVNS,1,74
1,13,partial,tVNS,1,69
1,14,partial,tVNS,2,41
1,15,partial,tVNS,1,73
1,16,partial,tVNS,1,63
1,17,partial,tVNS,2,26
1,18,partial,tVNS,2,60
1,19,partial,tVNS,2,16
1,20,partial,tVNS,1,56
1,21,partial,tVNS,1,66
1,22,partial,tVNS,1,54
1,23,partial,tVNS,1,38
1,24,partial,tVNS,2,22
1,25,partial,tVNS,1,55
1,26,partial,tVNS,1,36
1,27,partial,tVNS,2,52
1,28,partial,tVNS,2,62
1,29,partial,tVNS,2,78
1,30,partial,tVNS,2,49
1,31,partial,tVNS,2,56
1,32,partial,tVNS,1,64
1,33,partial,tVNS,2,72
1,34,partial,tVNS,2,47
1,35,partial,tVNS,1,47
1,36,partial,tVNS,2,94
1,37,partial,tVNS,2,85
1,38,partial,tVNS,2,34
1,39,partial,tVNS,2,56
1,40,partial,tVNS,2,48
1,41,partial,tVNS,2,74
1,42,partial,tVNS,2,38
1,43,partial,tVNS,1,36
1,44,partial,tVNS,1,35
1,45,partial,tVNS,2,41
1,46,partial,tVNS,2,81
1,47,partial,tVNS,2,58
1,48,partial,tVNS,2,51
1,49,partial,tVNS,1,62
1,50,partial,tVNS,1,61
1,51,partial,tVNS,2,33
1,52,partial,tVNS,2,22
1,53,partial,tVNS,2,24
1,54,partial,tVNS,1,32
1,55,partial,tVNS,1,39
1,56,partial,tVNS,1,53
2,1,full,tVNS,1,59
2,2,full,tVNS,1,61
2,3,full,tVNS,2,59
2,4,full,tVNS,1,72
2,5,full,tVNS,2,27
2,6,full,tVNS,1,51
2,7,full,tVNS,1,95
2,8,full,tVNS,1,68
2,9,full,tVNS,1,51
2,10,full,tVNS,2,70
2,11,full,tVNS,1,68
2,12,full,tVNS,1,72
2,13,full,tVNS,1,77
2,14,full,tVNS,1,78
2,15,full,tVNS,1,90
2,16,full,tVNS,1,50
2,17,full,tVNS,2,20
2,18,full,tVNS,1,82
2,19,full,tVNS,1,70
2,20,full,tVNS,1,14
2,21,full,tVNS,2,24
2,22,full,tVNS,2,20
2,23,full,tVNS,1,12
2,24,full,tVNS,2,77
2,25,full,tVNS,2,66
2,26,full,tVNS,2,57
2,27,full,tVNS,2,47
2,28,full,tVNS,2,83
2,29,full,tVNS,2,69
2,30,full,tVNS,2,33
2,31,full,tVNS,1,47
2,32,full,tVNS,2,83
2,33,full,tVNS,2,62
2,34,full,tVNS,2,89
2,35,full,tVNS,2,82
2,36,full,tVNS,2,72
2,37,full,tVNS,2,89
2,38,full,tVNS,2,65
2,39,full,tVNS,2,53
2,40,full,tVNS,1,49
2,41,full,tVNS,1,67
2,42,full,tVNS,2,82
2,43,full,tVNS,2,60
2,44,full,tVNS,2,25
2,45,full,tVNS,1,52
2,46,full,tVNS,1,31
2,47,full,tVNS,1,55
2,48,full,tVNS,1,51
2,49,full,tVNS,1,8
2,50,full,tVNS,2,7
2,51,full,tVNS,2,46
2,52,full,tVNS,2,28
2,53,full,tVNS,2,14
2,54,full,tVNS,1,34
2,55,full,tVNS,2,4
2,56,full,tVNS,1,89
3,1,partial,tVNS,2,64
3,2,partial,tVNS,2,66
3,3,partial,tVNS,1,58
3,4,partial,tVNS,1,67
3,5,partial,tVNS,1,74
3,6,partial,tVNS,1,68
3,7,partial,tVNS,1,93
3,8,partial,tVNS,1,77
3,9,partial,tVNS,1,76
3,10,partial,tVNS,1,80
3,11,partial,tVNS,1,53
3,12,partial,tVNS,1,60
3,13,partial,tVNS,1,77
3,14,partial,tVNS,1,43
3,15,partial,tVNS,1,59
3,16,partial,tVNS,1,60
3,17,partial,tVNS,2,28
3,18,partial,tVNS,1,34
3,19,partial,tVNS,1,50
3,20,partial,tVNS,1,59
3,21,partial,tVNS,1,89
3,22,partial,tVNS,1,67
3,23,partial,tVNS,1,33
3,24,partial,tVNS,2,13
3,25,partial,tVNS,1,71
3,26,partial,tVNS,1,40
3,27,partial,tVNS,1,26
3,28,partial,tVNS,1,63
3,29,partial,tVNS,1,44
3,30,partial,tVNS,1,25
3,31,partial,tVNS,1,60
3,32,partial,tVNS,1,73
3,33,partial,tVNS,1,61
3,34,partial,tVNS,1,89
3,35,partial,tVNS,1,54
3,36,partial,tVNS,1,18
3,37,partial,tVNS,2,42
3,38,partial,tVNS,2,50
3,39,partial,tVNS,1,19
3,40,partial,tVNS,1,71
3,41,partial,tVNS,1,24
3,42,partial,tVNS,2,43
3,43,partial,tVNS,1,9
3,44,partial,tVNS,1,47
3,45,partial,tVNS,2,23
3,46,partial,tVNS,2,65
3,47,partial,tVNS,2,78
3,48,partial,tVNS,2,61
3,49,partial,tVNS,2,69
3,50,partial,tVNS,2,42
3,51,partial,tVNS,2,22
3,52,partial,tVNS,1,42
3,53,partial,tVNS,1,65
3,54,partial,tVNS,1,54
3,55,partial,tVNS,1,45
3,56,partial,tVNS,2,33
4,1,full,tVNS,1,44
4,2,full,tVNS,2,78
4,3,full,tVNS,2,61
4,4,full,tVNS,2,78
4,5,full,tVNS,2,75
4,6,full,tVNS,1,43
4,7,full,tVNS,1,54
4,8,full,tVNS,2,80
4,9,full,tVNS,2,63
4,10,full,tVNS,1,62
4,11,full,tVNS,1,62
4,12,full,tVNS,1,85
4,13,full,tVNS,1,36
4,14,full,tVNS,1,87
4,15,full,tVNS,1,77
4,16,full,tVNS,1,66
4,17,full,tVNS,1,80
4,18,full,tVNS,1,53
4,19,full,tVNS,1,62
4,20,full,tVNS,1,57
4,21,full,tVNS,1,20
4,22,full,tVNS,2,66
4,23,full,tVNS,2,95
4,24,full,tVNS,2,63
4,25,full,tVNS,2,91
4,26,full,tVNS,2,42
4,27,full,tVNS,2,72
4,28,full,tVNS,2,89
4,29,full,tVNS,2,75
4,30,full,tVNS,1,80
4,31,full,tVNS,1,83
4,32,full,tVNS,1,35
4,33,full,tVNS,2,42
4,34,full,tVNS,1,26
4,35,full,tVNS,2,40
4,36,full,tVNS,1,35
4,37,full,tVNS,1,27
4,38,full,tVNS,2,64
4,39,full,tVNS,2,73
4,40,full,tVNS,2,69
4,41,full,tVNS,2,82
4,42,full,tVNS,2,42
4,43,full,tVNS,2,26
4,44,full,tVNS,2,54
4,45,full,tVNS,2,37
4,46,full,tVNS,2,36
4,47,full,tVNS,1,80
4,48,full,tVNS,1,59
4,49,full,tVNS,1,9
4,50,full,tVNS,1,29
4,51,full,tVNS,1,41
4,52,full,tVNS,2,22
4,53,full,tVNS,1,13
4,54,full,tVNS,2,67
4,55,full,tVNS,2,71
4,56,full,tVNS,2,12
1,1,full,sham,1,60
1,2,full,sham,1,28
1,3,full,sham,1,67
1,4,full,sham,1,48
1,5,full,sham,2,76
1,6,full,sham,1,57
1,7,full,sham,1,30
1,8,full,sham,2,74
1,9,full,sham,1,66
1,10,full,sham,1,85
1,11,full,sham,1,74
1,12,full,sham,1,85
1,13,full,sham,1,83
1,14,full,sham,1,59
1,15,full,sham,1,73
1,16,full,sham,1,26
1,17,full,sham,1,53
1,18,full,sham,1,61
1,19,full,sham,1,39
1,20,full,sham,1,42
1,21,full,sham,1,21
1,22,full,sham,2,9
1,23,full,sham,1,26
1,24,full,sham,1,29
1,25,full,sham,2,36
1,26,full,sham,2,62
1,27,full,sham,2,66
1,28,full,sham,2,86
1,29,full,sham,2,89
1,30,full,sham,2,46
1,31,full,sham,2,78
1,32,full,sham,2,79
1,33,full,sham,2,43
1,34,full,sham,1,21
1,35,full,sham,1,83
1,36,full,sham,1,66
1,37,full,sham,2,39
1,38,full,sham,1,59
1,39,full,sham,1,68
1,40,full,sham,2,63
1,41,full,sham,2,72
1,42,full,sham,1,81
1,43,full,sham,1,69
1,44,full,sham,1,82
1,45,full,sham,1,87
1,46,full,sham,1,86
1,47,full,sham,1,72
1,48,full,sham,1,34
1,49,full,sham,2,27
1,50,full,sham,2,14
1,51,full,sham,1,29
1,52,full,sham,1,30
1,53,full,sham,2,51
1,54,full,sham,1,47
1,55,full,sham,1,48
1,56,full,sham,2,24
2,1,partial,sham,1,77
2,2,partial,sham,1,11
2,3,partial,sham,2,36
2,4,partial,sham,2,42
2,5,partial,sham,2,66
2,6,partial,sham,2,86
2,7,partial,sham,2,76
2,8,partial,sham,2,50
2,9,partial,sham,1,47
2,10,partial,sham,1,37
2,11,partial,sham,1,79
2,12,partial,sham,1,89
2,13,partial,sham,1,95
2,14,partial,sham,1,83
2,15,partial,sham,1,60
2,16,partial,sham,1,83
2,17,partial,sham,1,42
2,18,partial,sham,2,35
2,19,partial,sham,2,22
2,20,partial,sham,2,5
2,21,partial,sham,1,11
2,22,partial,sham,2,45
2,23,partial,sham,2,27
2,24,partial,sham,1,30
2,25,partial,sham,2,56
2,26,partial,sham,2,54
2,27,partial,sham,2,49
2,28,partial,sham,1,38
2,29,partial,sham,2,75
2,30,partial,sham,1,36
2,31,partial,sham,1,5
2,32,partial,sham,2,47
2,33,partial,sham,2,70
2,34,partial,sham,2,97
2,35,partial,sham,2,79
2,36,partial,sham,2,65
2,37,partial,sham,2,91
2,38,partial,sham,2,83
2,39,partial,sham,2,91
2,40,partial,sham,2,46
2,41,partial,sham,1,46
2,42,partial,sham,1,72
2,43,partial,sham,1,79
2,44,partial,sham,1,48
2,45,partial,sham,1,63
2,46,partial,sham,1,65
2,47,partial,sham,2,46
2,48,partial,sham,1,29
2,49,partial,sham,2,4
2,50,partial,sham,1,19
2,51,partial,sham,1,11
2,52,partial,sham,1,41
2,53,partial,sham,1,74
2,54,partial,sham,1,49
2,55,partial,sham,2,55
2,56,partial,sham,1,56
3,1,full,sham,2,56
3,2,full,sham,1,36
3,3,full,sham,2,72
3,4,full,sham,2,97
3,5,full,sham,2,80
3,6,full,sham,2,80
3,7,full,sham,2,52
3,8,full,sham,2,70
3,9,full,sham,1,52
3,10,full,sham,1,55
3,11,full,sham,2,81
3,12,full,sham,2,46
3,13,full,sham,1,20
3,14,full,sham,1,32
3,15,full,sham,2,84
3,16,full,sham,2,91
3,17,full,sham,2,50
3,18,full,sham,2,67
3,19,full,sham,2,46
3,20,full,sham,2,46
3,21,full,sham,2,4
3,22,full,sham,1,79
3,23,full,sham,1,63
3,24,full,sham,1,12
3,25,full,sham,2,13
3,26,full,sham,1,79
3,27,full,sham,1,94
3,28,full,sham,1,87
3,29,full,sham,1,50
3,30,full,sham,2,16
3,31,full,sham,1,79
3,32,full,sham,1,28
3,33,full,sham,2,62
3,34,full,sham,2,37
3,35,full,sham,2,30
3,36,full,sham,2,84
3,37,full,sham,1,88
3,38,full,sham,1,41
3,39,full,sham,2,80
3,40,full,sham,2,77
3,41,full,sham,2,82
3,42,full,sham,2,82
3,43,full,sham,2,57
3,44,full,sham,2,86
3,45,full,sham,2,66
3,46,full,sham,2,75
3,47,full,sham,1,18
3,48,full,sham,1,21
3,49,full,sham,2,46
3,50,full,sham,2,24
3,51,full,sham,2,40
3,52,full,sham,2,4
3,53,full,sham,1,26
3,54,full,sham,1,58
3,55,full,sham,1,75
3,56,full,sham,1,55
4,1,partial,sham,2,42
4,2,partial,sham,2,82
4,3,partial,sham,2,88
4,4,partial,sham,2,48
4,5,partial,sham,2,78
4,6,partial,sham,2,73
4,7,partial,sham,2,62
4,8,partial,sham,2,70
4,9,partial,sham,2,60
4,10,partial,sham,2,72
4,11,partial,sham,2,72
4,12,partial,sham,2,77
4,13,partial,sham,2,60
4,14,partial,sham,2,86
4,15,partial,sham,2,86
4,16,partial,sham,2,59
4,17,partial,sham,2,73
4,18,partial,sham,2,44
4,19,partial,sham,1,43
4,20,partial,sham,2,45
4,21,partial,sham,2,55
4,22,partial,sham,2,56
4,23,partial,sham,2,66
4,24,partial,sham,2,21
4,25,partial,sham,1,18
4,26,partial,sham,2,24
4,27,partial,sham,1,65
4,28,partial,sham,1,63
4,29,partial,sham,1,69
4,30,partial,sham,1,81
4,31,partial,sham,1,72
4,32,partial,sham,1,49
4,33,partial,sham,1,65
4,34,partial,sham,2,51
4,35,partial,sham,2,31
4,36,partial,sham,2,57
4,37,partial,sham,1,44
4,38,partial,sham,2,64
4,39,partial,sham,2,9
4,40,partial,sham,1,34
4,41,partial,sham,1,68
4,42,partial,sham,1,26
4,43,partial,sham,2,14
4,44,partial,sham,1,77
4,45,partial,sham,1,49
4,46,partial,sham,2,14
4,47,partial,sham,1,27
4,48,partial,sham,2,19
4,49,partial,sham,2,45
4,50,partial,sham,2,61
4,51,partial,sham,2,43
4,52,partial,sham,2,52
4,53,partial,sham,2,53
4,54,partial,sham,2,29
4,55,partial,sham,2,25
4,56,partial,sham,1,11